,event,cycle,loc,transaction,src,src_index,dst,dst_index,req,cacheLine,reqAddr,data,size,tran_id,cpuID,mshrSize,ICacheState,NCacheState,hit-miss,type-op
2238,Retry,408000,dc2,ReadNotSD,l2cache_0,2,dc2,3,l1cache_0,0x4ac0,0x4ae8,F,64,218,218,,,,,
2239,New,408000,dc2,ReadUnique,l2cache_0,2,dc2,3,l1cache_0,0xec0,0xee8,F,64,408,408,,,,,
2240,Retry,408000,dc0,ReadUnique,l2cache_1,2,dc0,3,l1cache_1,0x27c0,0x27e8,F,64,194,194,,,,,
2241,Send,408000,l1cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,-,0x3ec0,-,-,64,420,420,-,-,-,-,-
2242,Send,408000,l1cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,-,0x28c0,0x28e8,-,64,432,432,-,-,-,-,-
2243,New,408000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x1fc0,0x1fec,F,1,433,433,28,I,ISC,miss,Forward
2244,New,409000,l1cache_1,CompData,l2cache_1,2,l1cache_1,1,l1cache_1,0x440,0x450,T,64,158,158,31,IUD,UD,-,Respond
2245,Send,409000,l1cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,-,0x1fc0,0x1fec,-,64,433,433,-,-,-,-,-
2246,Send,410000,l2cache_1,SnpUnique,l2cache_1,2,l1cache_1,1,-,0x440,-,-,64,429,429,-,-,-,-,-
2247,New,410000,l2cache_1,CompData,dc1,3,l2cache_1,2,l1cache_1,0xac0,0xaec,T,64,136,136,26,IUD,UD,-,Respond
2248,New,410000,l2cache_1,SnpNotSDFwd,dc1,3,l2cache_1,2,l1cache_0,0xac0,0xae8,F,64,388,388,,,,,
2249,Send,410000,l2cache_0,SnpUnique,l2cache_0,2,l1cache_0,1,-,0x42c0,-,-,64,430,430,-,-,-,-,-
2250,New,410000,l2cache_0,ReadUnique,l1cache_0,1,l2cache_0,2,l1cache_0,0x28c0,0x28e8,F,64,432,432,23,SC,SCUD,miss,Forward
2251,New,410000,l2cache_0,ReadNotSD,l1cache_0,1,l2cache_0,2,l1cache_0,0x1fc0,0x1fec,F,64,433,433,24,I,ISC,miss,Forward
2252,Send,410000,l2cache_2,ReadNotSD,l2cache_2,2,dc2,3,-,0x41c0,0x41ec,-,64,425,425,-,-,-,-,-
2253,Send,410000,l2cache_2,CompData,l2cache_2,2,l1cache_2,1,-,0x3ac0,0x3aec,-,64,298,298,-,-,-,-,-
2254,Send,410000,l2cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,-,0xcc0,-,-,64,431,431,-,-,-,-,-
2255,New,410000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x56c0,-,T,64,417,417,29,UD_Inv,UD,-,Retry
2256,New,410000,l2cache_2,SnpRespData,l1cache_2,1,l2cache_2,2,l1cache_1,0x3ec0,-,T,64,420,420,,,,,
2257,New,410000,dc0,CompData,memory0,4,dc0,3,l1cache_0,0x3cc0,0x3cec,T,64,111,111,,,,,
2258,Send,410000,l1cache_1,CompData,l1cache_1,1,memHierarchyTester,0,-,0x1ec0,0x1eed,-,1,428,428,-,-,-,-,-
2259,New,411000,l1cache_2,CompData,l2cache_2,2,l1cache_2,1,l1cache_2,0x3ac0,0x3aec,T,64,298,298,38,IUD,UD,-,Respond
2260,New,411000,l1cache_2,SnpUnique,l2cache_2,2,l1cache_2,1,l1cache_0,0xcc0,-,F,64,431,431,,,,,
2261,New,411000,l1cache_1,SnpUnique,l2cache_1,2,l1cache_1,1,l1cache_2,0x440,-,F,64,429,429,,UD,I,-,Respond
2262,New,411000,l1cache_0,ReadNotSD,memHierarchyTester,0,l1cache_0,1,l1cache_0,0x2ec0,0x2eee,F,1,436,436,,SC,SC,hit,Respond
2263,New,411000,l1cache_0,SnpUnique,l2cache_0,2,l1cache_0,1,l1cache_2,0x42c0,-,F,64,430,430,,,,,
2264,Send,412000,l2cache_1,ReadUnique,l2cache_1,2,dc2,3,-,0x1ac0,0x1ae8,-,64,427,427,-,-,-,-,-
2265,New,412000,l2cache_1,SnpNotSDFwd,dc1,3,l2cache_1,2,l1cache_0,0xac0,0xae8,F,64,388,388,27,UD,UD_InvX,Dgr owner,Stall
